F26,,PERIOD : ,8,WEEK :,2,,,,,,,,
CULINARY PERFORMANCE SUMMARY ,,,,LOCATION: ,BTB,,,,,Sales,Actual,Budget,
Ensure all numbers are entered including zero values. ,,,,,,,,,QTD,"$349,673 ",17.41%,16.98%,
BUDGET FOOD COST%:,24.84%,FOOD COST%:,24.43%, FC VARIANCE:,-0.41%,,,,Week,"$72,889 ",17.18%,16.85%,
THEORETICAL FOOD COST%:,23.99%,ON HAND:,"$15,897.24 ", THEORETICAL VAR:,0.44%,,,,Total,422561.57,73400.5693,71656.19945,1744.369855
SAGEFOOD SALES QTD:," $349,673.00 ",SAGE FCOST QTD:,24.62%,FOOD COST PTD%:,24.25%,,,,,,0.173703845,0.16957576,0.004128084
SAGE SALES BUDGET QTD:,"$462,843 ",FC QTD%:,24.59%,QTD VARIANCE:,-0.25%,,,,,,,,
USAGE : ,"$17,808.83 ",IDEAL USAGE :,"$17,486 ",COGS QTD:,"-$1,065.97",,,,,,,,
FOOD SALES SILVERWARE:,"$72,889 ",FOOD SALES OC:,"$72,843 ",WEEK VARIANCE:,"($4,252)",,,,,,,,
BUDGET FOOD SALES (PERIOD):,"$308,562 ",WEEK BUGDET :,"$77,141 ",QTD VARIANCE:,"($40,259)",,,,,,,,
LABOUR BUDGET%:,16.85%,LABOUR COST%:,17.18%,LC VARIANCE:,0.33%,,,,,,,,
SAGE LABOUR BUDGET QTD:,16.98%,SAGE LCOST QTD:,17.41%,LABOUR COST PTD%:,16.99%,,,,,,,,
LABOUR QTD%:,17.37%,LAB PTD VAR $ :,"$1,744.37",QTD VARIANCE:,0.41%,,,,,,,,
LABOUR $ SPENT :," $12,522.50 ",OVERTIME ,$0.00 ,LAB QTD VAR $,"$1,744.37",,,,,,,,
EBIDTA BUDGET (PERIOD):,12.92%,EBIDTA PTD:,18.26%,VARIANCE:,5.34%,,,,,,,,
QSR WEEKEND LUNCH TIME:,10:32,QSR  EXPO TIME:,9:36,TEAMSHARE :, $6.47 ,,,,,,,,
TOP 5 OVER-USED,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PETTY CASH : , $435.31 ,WASTE:, $242.65 ,LAST AUDIT SCORE: ,86.00%,,,,,,,,
BOH PROMO $: , $72.44 ,PROMO $ PTD : , $185.87 ,PROMO $ QTD : , $791.52 ,,,,,,,,
WEEKS REMAINING IN QTR, 6 ,,,$/WEEK,$/DAY,,,,,,,,
FOOD COST SUMMARY (REFERENCE ACTION PLAN >>>,,,,-178,-25,,,,,,,,
Food cogs in under budget for the week. Team stayed on track with ordering and we saw some weekend sales coming in over projections. FCAP items stayed relatively tight; saw a nice decrease in oil this week. Waste was up a bit this week with us coming out of the weekend into a slow Monday + Tuesday that finished well behind projections. ,,,,,,,,,,,,,
,,,,$/WEEK,$/DAY,,,,,,,,
LABOUR SUMMARY REF QTD $ AMOUNT >>>,,SOUS VAC DAYS :,,291,42,,,,,,,,
"Labour over budget for the week. Missed the mark on projections to start the week, overspent based on those sales but underused based on scheduled hours. Weekend brought us projections beating sales but we didn't cut enough to make up the difference. Scheduled down in hours to start this Monday to put us in a better spot to start. ",,,,,,,,,,,,,
BOH PROMO SUMMARY,"LIST TOP 3 ITEMS : Fried Chicken, Double Standard, Apple Pie",,,,,,,,,,,,
Promo came in at $72.44 for the week. Kept the higher ticket items out of promo this week which is a win. Best week for promo this quarter.  ,,,,,,,,,,,,,
HIRES,TERMINATED,,,NOTES:,,,,,,,,,
Cole Cogl - Line,None,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
 ,IDEAL#,CURRENT#,VARIANCE:,HIRING NOTES:,,,,,,,,,
**IDEAL = the maximum TMs needed for each position based on the following 8 week's business levels. ,,,,,,,,,,,,,
Cooks,18,16,2,Still on the hunt for hires. Starting to train dishwashers to fill gaps.,,,,,,,,,
Prep,2,2,0,,,,,,,,,,
Dish,5,5,0,,,,,,,,,,
Other,1,1,0,,,,,,,,,,
TM MOTs OF NOTE,,,,,,,,,,,,,
,,,,,,,,,,,,,
DEVELOPMENT PATH UPDATES,,,,,,,,,,,,,
Carter beginning line training. Sous Chef Dev Plan goals reviewed.  Have a new cook for orientation this week. ,,,,,,,,,,,,,
R&M ISSUES / CLEANING FOCUS,,,,,,,,,,,,,
New shelving ordered for line to replace old shelf. Jesse working on prep/fridge shelving issues. Prep hood fan casing bolts replaced to secure unit. ,,,,,,,,,,,,,
ACTION PLAN SUMMARY FOR THE WEEK AHEAD,,,,,,,,,,,,,
Still prioritizing hiring. Team has been much better about ordering but still see some opportunity with waste. Sous' are focusing on R+M and gettting 1on1's done. ,,,,,,,,,,,,,
FEATURE ITEM,SOLD:,FEATURE NOTES:,,,,,,,,,,,
Pork Chop,17/84,,,,,,,,,,,,
Winter Salad,15/58.5,,,,,,,,,,,,
Apple Pie,23/90,,,,,,,,,,,,
 , ,,,,,,,,,,,,
