Type,Company Name,,,,,,,,,,,,,,,,
KPI,Total,Beertown Barrie,Beertown Burlington,Beertown Cambridge,Beertown Etobicoke,Beertown Guelph,Beertown London,Beertown Newmarket,Beertown Oakville,Beertown Toronto,Beertown Waterloo,Beertown Whitby,Beertown White Oaks Mall,Sociable Kitchen + Tavern,Sole,The Bauer Kitchen,Wildcraft Waterloo
1. Totals,,,,,,,,,,,,,,,,,
1. Total Daily Sales,248 878.25,12 640.37,19 391.41,11 968.12,15 347.76,14 524.92,14 150.61,15 252.92,19 577.16,14 650.67,17 780.6,19 481.43,13 201.09,10 393.05,10 145.95,22 695.28,17 676.91
2. Total WTD Sales,763 338.38,40 664.77,56 570.86,35 055.6,39 961.19,52 669.38,35 268.03,34 053.31,55 907.24,60 106.81,61 839.73,49 839.34,37 196.5,38 807.39,41 067.25,68 371.91,55 959.07
3. Daily Sales +/- Projections,-6 421.75,2 640.37,1 391.41,968.12,1 347.76,-5 475.08,-1 349.39,252.92,-2 422.84,2 050.67,-9 719.4,7 481.43,1.09,-2 106.95,-3 854.05,3 695.28,-1 323.09
4. WTD Sales +/- Projections,34 938.38,6 164.77,6 570.86,-1 944.4,6 461.19,2 669.38,968.03,-446.69,4 907.24,1 906.81,839.73,9 339.34,1 896.5,-1 792.61,-2 932.75,2 371.91,-2 040.93
5. Daily Sales +/- Last Year,15 358.22,-3 381.75,230.7,869.43,3 772.95,-2 743.01,5 185.11,2 500.88,339.21,-1 409.15,-1 078.2,5 757.06,2 217.69,-2 550.14,437.25,4 579.96,630.23
6. WTD Sales +/- Last Year,85 106.23,-11 165.61,6 477.77,791.11,10 311.48,6 922.48,8 814.86,5 689.36,8 148.37,-1 761.49,7 150.74,10 330.81,3 983.84,3 699.33,13 258.32,8 964.94,3 489.92
7. WTD Sales +/- Last Year %,11.15,-27.46,11.45,2.26,25.8,13.14,24.99,16.71,14.57,-2.93,11.56,20.73,10.71,9.53,32.28,13.11,6.24
BOH,,,,,,,,,,,,,,,,,
BOH: 1. Labour Budget %,17.58,17.28,18.18,17.41,17.8,16.35,18.62,17.88,16.34,17.6,15.48,17.21,18.61,17.14,19.89,18.08,17.4
BOH: 2. Daily Labour Actual % of Sales,18.16,17.85,17.95,18.03,16.79,19.4,15.75,15.34,16.19,17.17,16.96,13.29,17.58,22.1,24.31,20.13,21.68
BOH: 3. WTD Labour Actual % of Sales,19.31,20.9,18.12,18.81,17.56,19.39,19.52,21.16,17.99,18.34,17.14,16.34,19.01,20.77,22.06,21.09,20.81
BOH: 4. Daily Labour Projection % of Sales,16.65,22.37,13.99,22.12,15.98,18.47,13.84,15.28,12.15,19.47,9.82,15.29,15.95,16.54,19.47,18.53,17.11
BOH: 5. Full Week Labour Projection % of Sales,17.06,16.98,17.75,16.97,18.01,16.67,18.74,17.64,14.72,17.88,15.51,14.51,18.81,15.29,19.26,17.16,17.08
BOH: 6. Daily Labour $ +/- Labour Projections,2 130.9,53.05,417.47,49.55,115.59,112.79,-35.1,17.99,168.92,-98.52,152.1,347.49,191.03,139.92,-214.99,393.65,319.96
BOH: 7. WTD Labour $ +/- Labour Projections,6 641.65,424.49,487.96,-98.17,470.76,383.59,168.46,155.64,697.36,261.93,789.16,512.63,513.47,499.9,-33.46,744.54,663.39
BOH: 8. WTD Labour % +/- Labour Budget %,1.73,3.62,-0.06,1.4,-0.24,3.04,0.9,3.28,1.65,0.74,1.66,-0.87,0.4,3.63,2.17,3.01,3.41
BOH: 9 WTD Labour $ +/- Relative to Sales,3 596.93,-639.94,-466.84,-188.95,-201.12,233.46,253.82,193.05,1 162.13,184.73,726.51,-354.93,178.48,625.2,499.34,683.42,708.57
FOH,,,,,,,,,,,,,,,,,
